data,nome,peso,repeticao,cardio,tempo,peso_add,rep_add
10/11/2023,Remada baixa,95,14,Bike,18,,
10/11/2023,Remada curvada com barra,45,10,Bike,18,,
10/11/2023,Remada curvada com barra,45,9,Bike,18,,
10/11/2023,Remada curvada com barra,45,8,Bike,18,,
10/11/2023,Remada curvada com barra,45,9,Bike,18,,
10/11/2023,Remada curvada com barra,45,8,Bike,18,,
10/11/2023,Remada no Smith,19,,Bike,18,,
10/11/2023,Remada no Smith,18,,Bike,18,,
10/11/2023,Remada no Smith,16,,Bike,18,,
10/11/2023,Remada no Smith,16,,Bike,18,,
10/11/2023,Pulldown,64,12,Bike,18,,
10/11/2023,Pulldown,64,11,Bike,18,,
10/11/2023,Pulldown,64,11,Bike,18,,
10/11/2023,Pulldown,64,10,Bike,18,,
10/11/2023,Rosca unilateral na polia,25,10,Bike,18,,
10/11/2023,Rosca unilateral na polia,25,10,Bike,18,,
10/11/2023,Rosca unilateral na polia,25,10,Bike,18,,
10/11/2023,Rosca unilateral na polia,25,10,Bike,18,,
10/11/2023,Puxador aberto,66,10,Bike,18,,
10/11/2023,Puxador aberto,66,10,Bike,18,,
10/11/2023,Puxador aberto,66,9,Bike,18,,
10/11/2023,Puxador aberto,66,8,Bike,18,,
10/11/2023,Puxador aberto,66,8,Bike,18,,
10/11/2023,Puxador aberto,52,5,Bike,18,,
10/11/2023,Puxador aberto,39,5,Bike,18,,
10/11/2023,Rosca direta barra,30,9,Bike,18,,
10/11/2023,Rosca direta barra,30,9,Bike,18,,
10/11/2023,Rosca direta barra,30,9,Bike,18,,
10/11/2023,Rosca direta barra,30,9,Bike,18,,
10/11/2023,Rosca punho,18,12,Bike,18,,
10/11/2023,Rosca punho,18,12,Bike,18,,
10/11/2023,Rosca punho,18,12,Bike,18,,
13/11/2023,Crucifixo Adutor na Polia,21.6,10,Bike,18,17,5
13/11/2023,Crucifixo Adutor na Polia,21.6,9,Bike,18,17,5
13/11/2023,Crucifixo Adutor na Polia,21.6,9,Bike,18,17,5
13/11/2023,Supino Maquina,59,10,Bike,18,17,5
13/11/2023,Supino Maquina,59,10,Bike,18,47,5
13/11/2023,Supino Maquina,63,10,Bike,18,51,5
13/11/2023,Biceps Curl Machine,50,10,Bike,18,41,5
13/11/2023,Biceps Curl Machine,54,10,Bike,18,44,5
13/11/2023,Biceps Curl Machine,59,10,Bike,18,47,5
13/11/2023,Supino reto hack,60,10,Bike,18,45,5
13/11/2023,Supino reto hack,60,9,Bike,18,45,5
13/11/2023,Supino reto hack,60,8,Bike,18,45,5
13/11/2023,Supino inclinado hack,50,8,Bike,18,45,5
13/11/2023,Supino inclinado hack,50,8,Bike,18,40,5
13/11/2023,Supino inclinado hack,50,6,Bike,18,40,5
13/11/2023,Supino inclinado halter,22,10,Bike,18,18,5
13/11/2023,Supino inclinado halter,22,10,Bike,18,18,4
13/11/2023,Supino inclinado halter,22,9,Bike,18,18,5
13/11/2023,Biceps pulley corda,36,10,Bike,18,29,5
13/11/2023,Biceps pulley corda,36,10,Bike,18,29,5
13/11/2023,Biceps pulley corda,36,10,Bike,18,29,6
13/11/2023,Rosca 45,12,10,Bike,18,10,5
13/11/2023,Rosca 45,12,10,Bike,18,10,5
13/11/2023,Rosca 45,12,9,Bike,18,10,5
13/11/2023,Concentrado,10,9,Bike,18,10,5
13/11/2023,Concentrado,10,10,Bike,18,10,5
13/11/2023,Concentrado,10,10,Bike,18,10,5
15/11/2023,Cadeira Flexora,32,10,Caminhada,30,27,5
15/11/2023,Cadeira Flexora,36,8,Caminhada,30,32,5
15/11/2023,Cadeira Flexora,32,8,Caminhada,30,27,5
15/11/2023,Stiff,60,10,Caminhada,30,46,5
15/11/2023,Stiff,60,8,Caminhada,30,46,5
15/11/2023,Stiff,60,10,Caminhada,30,46,5
15/11/2023,Mesa Flexora,54,10,Caminhada,30,45,5
15/11/2023,Mesa Flexora,56,8,Caminhada,30,47,5
15/11/2023,Mesa Flexora,56,8,Caminhada,30,47,4
15/11/2023,Agachamento livre,50,10,Caminhada,30,47,4
15/11/2023,Agachamento livre,50,10,Caminhada,30,47,4
15/11/2023,Agachamento livre,50,10,Caminhada,30,47,4
15/11/2023,bulgaro,12,10,Caminhada,30,47,4
15/11/2023,bulgaro,12,10,Caminhada,30,47,4
15/11/2023,bulgaro,12,10,Caminhada,30,47,4
15/11/2023,Leg 45,200,10,Caminhada,30,47,4
15/11/2023,Leg 45,200,10,Caminhada,30,47,4
15/11/2023,Leg 45,200,10,Caminhada,30,47,4
15/11/2023,Gemeos sentado,40,10,Caminhada,30,47,4
15/11/2023,Gemeos sentado,40,10,Caminhada,30,47,4
15/11/2023,Gemeos sentado,40,10,Caminhada,30,47,4
15/11/2023,Hack,80,10,Caminhada,30,40,5
15/11/2023,Hack,100,10,Caminhada,30,80,5
15/11/2023,Hack,100,10,Caminhada,30,80,5
15/11/2023,Abdominal crunch,41,10,Caminhada,30,32,5
15/11/2023,Abdominal crunch,50,10,Caminhada,30,41,5
15/11/2023,Abdominal crunch,59,9,Caminhada,30,50,5
16/11/2023,Remada cavalinho,50,10,ElÃ­ptico,20,40,5
16/11/2023,Remada cavalinho,50,10,ElÃ­ptico,20,40,5
16/11/2023,Remada cavalinho,50,10,ElÃ­ptico,20,40,5
16/11/2023,Remada na maquina,59,10,ElÃ­ptico,20,50,5
16/11/2023,Remada na maquina,59,10,ElÃ­ptico,20,50,5
16/11/2023,Remada na maquina,59,10,ElÃ­ptico,20,50,5
16/11/2023,Pulldown,59,10,ElÃ­ptico,20,50,5
16/11/2023,Pulldown,68,10,ElÃ­ptico,20,56,5
16/11/2023,Pulldown,68,10,ElÃ­ptico,20,56,5
16/11/2023,Puxada Frente Triangulo,66,10,ElÃ­ptico,20,56,4
16/11/2023,Puxada Frente Triangulo,66,10,ElÃ­ptico,20,54,5
16/11/2023,Puxada Frente Triangulo,66,9,ElÃ­ptico,20,54,5
16/11/2023,Remada unilateral com halter,34,8,ElÃ­ptico,20,54,5
16/11/2023,Remada unilateral com halter,32,10,ElÃ­ptico,20,54,5
16/11/2023,Remada unilateral com halter,30,10,ElÃ­ptico,20,54,5
16/11/2023,Triceps mergulho,10,10,ElÃ­ptico,20,54,5
16/11/2023,Triceps mergulho,10,10,ElÃ­ptico,20,54,5
16/11/2023,Triceps mergulho,10,10,ElÃ­ptico,20,54,5
16/11/2023,Triceps frances halter,14,10,ElÃ­ptico,20,54,5
16/11/2023,Triceps frances halter,18,10,ElÃ­ptico,20,54,5
16/11/2023,Triceps frances halter,18,10,ElÃ­ptico,20,54,5
16/11/2023,Triceps frances Cross,23,10,ElÃ­ptico,20,54,5
16/11/2023,Triceps frances Cross,27,10,ElÃ­ptico,20,54,5
16/11/2023,Triceps frances Cross,27,8,ElÃ­ptico,20,54,5
17/11/2023,Abdominal crossfit com anilha,10,20,Caminhada,18,54,5
17/11/2023,Abdominal crossfit com anilha,10,20,Caminhada,18,54,5
17/11/2023,Abdominal crossfit com anilha,10,20,Caminhada,18,54,5
17/11/2023,Voador,52,20,Caminhada,18,39,5
17/11/2023,Voador,59,20,Caminhada,18,45,5
17/11/2023,Voador,66,20,Caminhada,18,52,5
17/11/2023,Voador,66,19,Caminhada,18,52,5
17/11/2023,Supino reto com halter,18,20,Caminhada,18,14,5
17/11/2023,Supino reto com halter,18,20,Caminhada,18,14,5
17/11/2023,Supino reto com halter,18,20,Caminhada,18,14,5
17/11/2023,Supino reto com halter,18,20,Caminhada,18,14,5
17/11/2023,Supino inclinado halter,18,19,Caminhada,18,14,5
17/11/2023,Supino inclinado halter,18,15,Caminhada,18,14,5
17/11/2023,Supino inclinado halter,18,16,Caminhada,18,14,5
17/11/2023,Supino inclinado halter,18,14,Caminhada,18,14,5
17/11/2023,Supino Maquina,36,20,Caminhada,18,30,5
17/11/2023,Supino Maquina,36,18,Caminhada,18,30,5
17/11/2023,Supino Maquina,36,16,Caminhada,18,30,5
17/11/2023,Supino Maquina,36,17,Caminhada,18,30,5
17/11/2023,Elevacao Lateral,10,19,Caminhada,18,8,5
17/11/2023,Elevacao Lateral,10,19,Caminhada,18,8,5
17/11/2023,Elevacao Lateral,10,17,Caminhada,18,8,5
17/11/2023,Elevacao Lateral,10,17,Caminhada,18,8,5
17/11/2023,Desenvolvimento Maquina,27,18,Caminhada,18,23,5
17/11/2023,Desenvolvimento Maquina,27,16,Caminhada,18,23,5
17/11/2023,Desenvolvimento Maquina,27,16,Caminhada,18,23,5
17/11/2023,Desenvolvimento Maquina,27,17,Caminhada,18,23,4
18/11/2023,Extensora Isometria,56,10,,,45,5
18/11/2023,Extensora Isometria,56,10,,,45,5
18/11/2023,Extensora Isometria,59,10,,,45,5
18/11/2023,Terra sumo,40,10,,,45,5
18/11/2023,Terra sumo,40,8,,,45,5
18/11/2023,Terra sumo,40,8,,,45,5
18/11/2023,Agachamento hack,60,9,,,45,5
18/11/2023,Agachamento hack,60,8,,,45,5
18/11/2023,Agachamento hack,60,10,,,45,5
18/11/2023,Cadeira Abdutora,54,10,,,45,5
18/11/2023,Cadeira Abdutora,50,10,,,45,5
18/11/2023,Cadeira Abdutora,63,10,,,45,5
18/11/2023,Cadeira Adutora,59,10,,,45,5
18/11/2023,Cadeira Adutora,54,10,,,45,5
18/11/2023,Cadeira Adutora,59,10,,,45,5
18/11/2023,Levantamento Pélvico,60,10,,,45,5
18/11/2023,Levantamento Pélvico,60,9,,,45,5
18/11/2023,Levantamento Pélvico,60,8,,,45,5
19/11/2023,Crucifixo abdutor banco,7,20,Bike,15,6,5
19/11/2023,Crucifixo abdutor banco,8,18,Bike,15,6,5
19/11/2023,Crucifixo abdutor banco,8,19,Bike,15,6,5
19/11/2023,Crucifixo abdutor banco,8,18,Bike,15,6,5
19/11/2023,Arnold,10,18,Bike,15,9,5
19/11/2023,Arnold,10,17,Bike,15,9,5
19/11/2023,Arnold,10,16,Bike,15,9,5
19/11/2023,Arnold,10,16,Bike,15,9,5
19/11/2023,Desenvolvimento com barra,30,10,Bike,15,24,5
19/11/2023,Desenvolvimento com barra,34,10,Bike,15,24,5
19/11/2023,Desenvolvimento com barra,34,10,Bike,15,24,5
19/11/2023,Crucifixo sentado inverso,8,10,Bike,15,24,5
19/11/2023,Crucifixo sentado inverso,10,10,Bike,15,8,5
19/11/2023,Crucifixo sentado inverso,10,10,Bike,15,8,5
19/11/2023,Crucifixo inverso peck,66,10,Bike,15,59,5
19/11/2023,Crucifixo inverso peck,73,10,Bike,15,59,5
19/11/2023,Crucifixo inverso peck,73,10,Bike,15,59,5
19/11/2023,Rotacao externa ombro,11,10,Bike,15,59,5
19/11/2023,Rotacao externa ombro,11,10,Bike,15,59,5
19/11/2023,Rotacao externa ombro,11,10,Bike,15,59,5
19/11/2023,Lateral Cross,11,10,Bike,15,59,5
19/11/2023,Lateral Cross,11,10,Bike,15,59,5
19/11/2023,Lateral Cross,9,10,Bike,15,59,5
21/11/2023,Crucifixo Adutor na Polia,21.6,10,Caminhada,30,17,6
21/11/2023,Crucifixo Adutor na Polia,21.6,10,Caminhada,30,17,5
21/11/2023,Crucifixo Adutor na Polia,21.6,9,Caminhada,30,17,5
21/11/2023,Supino Maquina,63,10,Caminhada,30,17,5
21/11/2023,Supino Maquina,63,8,Caminhada,30,51,5
21/11/2023,Supino Maquina,63,10,Caminhada,30,51,5
21/11/2023,Biceps Curl Machine,59,10,Caminhada,30,50,5
21/11/2023,Biceps Curl Machine,59,8,Caminhada,30,50,5
21/11/2023,Biceps Curl Machine,59,8,Caminhada,30,50,4
21/11/2023,Supino reto hack,60,9,Caminhada,30,45,5
21/11/2023,Supino reto hack,60,10,Caminhada,30,45,5
21/11/2023,Supino reto hack,60,9,Caminhada,30,45,5
21/11/2023,Supino inclinado hack,50,9,Caminhada,30,40,5
21/11/2023,Supino inclinado hack,50,8,Caminhada,30,40,5
21/11/2023,Supino inclinado hack,50,7,Caminhada,30,40,5
21/11/2023,Supino inclinado halter,24,8,Caminhada,30,18,4
21/11/2023,Supino inclinado halter,24,7,Caminhada,30,18,4
21/11/2023,Supino inclinado halter,24,7,Caminhada,30,18,4
21/11/2023,Biceps pulley corda,38,10,Caminhada,30,32,5
21/11/2023,Biceps pulley corda,41,10,Caminhada,30,32,5
21/11/2023,Biceps pulley corda,45,10,Caminhada,30,36,5
21/11/2023,Rosca 45,14,9,Caminhada,30,10,5
21/11/2023,Rosca 45,12,10,Caminhada,30,10,5
21/11/2023,Rosca 45,12,10,Caminhada,30,10,4
21/11/2023,Concentrado,10,10,Caminhada,30,8,4
21/11/2023,Concentrado,10,10,Caminhada,30,8,5
21/11/2023,Concentrado,10,10,Caminhada,30,8,4
22/11/2023,Cadeira Flexora,36,10,,,29,5
22/11/2023,Cadeira Flexora,36,10,,,29,5
22/11/2023,Cadeira Flexora,36,10,,,29,5
22/11/2023,Stiff,65,10,,,46,5
22/11/2023,Stiff,65,10,,,46,5
22/11/2023,Stiff,65,10,,,46,5
22/11/2023,Mesa Flexora,56,10,,,46,5
22/11/2023,Mesa Flexora,57,10,,,46,5
22/11/2023,Mesa Flexora,59,10,,,50,5
22/11/2023,Agachamento livre,50,10,,,50,5
22/11/2023,Agachamento livre,60,8,,,50,5
22/11/2023,Agachamento livre,60,8,,,50,5
22/11/2023,bulgaro,14,10,,,50,5
22/11/2023,bulgaro,14,9,,,50,5
22/11/2023,bulgaro,14,8,,,50,5
22/11/2023,Leg 45,200,10,,,50,5
22/11/2023,Leg 45,240,10,,,50,5
22/11/2023,Leg 45,240,10,,,50,5
22/11/2023,Gemeos sentado,40,10,,,50,5
22/11/2023,Gemeos sentado,60,6,,,50,5
22/11/2023,Gemeos sentado,50,10,,,50,5
22/11/2023,Hack,100,8,,,80,5
22/11/2023,Hack,100,10,,,80,5
19/11/2023,Crucifixo abdutor banco,7,20,Bike,15,6,5
19/11/2023,Crucifixo abdutor banco,8,18,Bike,15,6,5
19/11/2023,Crucifixo abdutor banco,8,19,Bike,15,6,5
19/11/2023,Crucifixo abdutor banco,8,18,Bike,15,6,5
19/11/2023,Arnold,10,18,Bike,15,9,5
19/11/2023,Arnold,10,17,Bike,15,9,5
19/11/2023,Arnold,10,16,Bike,15,9,5
19/11/2023,Arnold,10,16,Bike,15,9,5
19/11/2023,Desenvolvimento com barra,30,10,Bike,15,24,5
19/11/2023,Desenvolvimento com barra,34,10,Bike,15,24,5
19/11/2023,Desenvolvimento com barra,34,10,Bike,15,24,5
19/11/2023,Crucifixo sentado inverso,8,10,Bike,15,24,5
19/11/2023,Crucifixo sentado inverso,10,10,Bike,15,8,5
19/11/2023,Crucifixo sentado inverso,10,10,Bike,15,8,5
19/11/2023,Crucifixo inverso peck,66,10,Bike,15,59,5
19/11/2023,Crucifixo inverso peck,73,10,Bike,15,59,5
19/11/2023,Crucifixo inverso peck,73,10,Bike,15,59,5
19/11/2023,Rotacao externa ombro,11,10,Bike,15,59,5
19/11/2023,Rotacao externa ombro,11,10,Bike,15,59,5
19/11/2023,Rotacao externa ombro,11,10,Bike,15,59,5
19/11/2023,Lateral Cross,11,10,Bike,15,59,5
19/11/2023,Lateral Cross,11,10,Bike,15,59,5
19/11/2023,Lateral Cross,9,10,Bike,15,59,5
21/11/2023,Crucifixo Adutor na Polia,21.6,10,Andando,30,17,6
21/11/2023,Crucifixo Adutor na Polia,21.6,10,Andando,30,17,5
21/11/2023,Crucifixo Adutor na Polia,21.6,9,Andando,30,17,5
21/11/2023,Supino Maquina,63,10,Andando,30,17,5
21/11/2023,Supino Maquina,63,8,Andando,30,51,5
21/11/2023,Supino Maquina,63,10,Andando,30,51,5
21/11/2023,Biceps Curl Machine,59,10,Andando,30,50,5
21/11/2023,Biceps Curl Machine,59,8,Andando,30,50,5
21/11/2023,Biceps Curl Machine,59,8,Andando,30,50,4
21/11/2023,Supino reto hack,60,9,Andando,30,45,5
21/11/2023,Supino reto hack,60,10,Andando,30,45,5
21/11/2023,Supino reto hack,60,9,Andando,30,45,5
21/11/2023,Supino inclinado hack,50,9,Andando,30,40,5
21/11/2023,Supino inclinado hack,50,8,Andando,30,40,5
21/11/2023,Supino inclinado hack,50,7,Andando,30,40,5
21/11/2023,Supino inclinado halter,24,8,Andando,30,18,4
21/11/2023,Supino inclinado halter,24,7,Andando,30,18,4
21/11/2023,Supino inclinado halter,24,7,Andando,30,18,4
21/11/2023,Biceps pulley corda,38,10,Andando,30,32,5
21/11/2023,Biceps pulley corda,41,10,Andando,30,32,5
21/11/2023,Biceps pulley corda,45,10,Andando,30,36,5
21/11/2023,Rosca 45,14,9,Andando,30,10,5
21/11/2023,Rosca 45,12,10,Andando,30,10,5
21/11/2023,Rosca 45,12,10,Andando,30,10,4
21/11/2023,Concentrado,10,10,Andando,30,8,4
21/11/2023,Concentrado,10,10,Andando,30,8,5
21/11/2023,Concentrado,10,10,Andando,30,8,4
22/11/2023,Cadeira Flexora,36,10,Bike,18,29,5
22/11/2023,Cadeira Flexora,36,10,Bike,18,29,5
22/11/2023,Cadeira Flexora,36,10,Bike,18,29,5
22/11/2023,Stiff,65,10,Bike,18,46,5
22/11/2023,Stiff,65,10,Bike,18,46,5
22/11/2023,Stiff,65,10,Bike,18,46,5
22/11/2023,Mesa Flexora,56,10,Bike,18,46,5
22/11/2023,Mesa Flexora,57,10,Bike,18,46,5
22/11/2023,Mesa Flexora,59,10,Bike,18,50,5
22/11/2023,Agachamento livre,50,10,Bike,18,50,5
22/11/2023,Agachamento livre,60,8,Bike,18,50,5
22/11/2023,Agachamento livre,60,8,Bike,18,50,5
22/11/2023,bulgaro,14,10,Bike,18,50,5
22/11/2023,bulgaro,14,9,Bike,18,50,5
22/11/2023,bulgaro,14,8,Bike,18,50,5
22/11/2023,Leg 45,200,10,Bike,18,50,5
22/11/2023,Leg 45,240,10,Bike,18,50,5
22/11/2023,Leg 45,240,10,Bike,18,50,5
22/11/2023,Gemeos sentado,40,10,Bike,18,50,5
22/11/2023,Gemeos sentado,60,6,Bike,18,50,5
22/11/2023,Gemeos sentado,50,10,Bike,18,50,5
22/11/2023,Hack,100,8,Bike,18,80,5
22/11/2023,Hack,100,10,Bike,18,80,5
26/11/2023,Extensora Isometria,59,10,,,51,5
26/11/2023,Extensora Isometria,59,8,,,51,5
26/11/2023,Extensora Isometria,59,10,,,51,5
26/11/2023,Cadeira Abdutora,63,10,,,51,5
26/11/2023,Cadeira Abdutora,63,10,,,51,5
26/11/2023,Cadeira Abdutora,63,10,,,51,5
26/11/2023,Cadeira Adutora,63,10,,,51,5
26/11/2023,Cadeira Adutora,63,10,,,51,5
26/11/2023,Cadeira Adutora,63,10,,,51,5
26/11/2023,Levantamento Pélvico,65,9,,,51,5
26/11/2023,Levantamento Pélvico,65,9,,,51,5
26/11/2023,Levantamento Pélvico,65,9,,,51,5
28/11/2023,Crucifixo Adutor na Polia,21.6,10,ElÃ­ptico,20,17,5
28/11/2023,Crucifixo Adutor na Polia,21.6,10,ElÃ­ptico,20,17,5
28/11/2023,Crucifixo Adutor na Polia,21.6,9,ElÃ­ptico,20,17,5
28/11/2023,Supino Maquina,65,8,ElÃ­ptico,20,51,5
28/11/2023,Supino Maquina,65,8,ElÃ­ptico,20,51,5
28/11/2023,Supino Maquina,65,7,ElÃ­ptico,20,51,4
28/11/2023,Biceps Curl Machine,59,10,ElÃ­ptico,20,50,5
28/11/2023,Biceps Curl Machine,63,9,ElÃ­ptico,20,50,5
28/11/2023,Biceps Curl Machine,63,8,ElÃ­ptico,20,50,4
28/11/2023,Supino reto hack,65,7,ElÃ­ptico,20,45,5
28/11/2023,Supino reto hack,60,9,ElÃ­ptico,20,40,5
28/11/2023,Supino reto hack,60,9,ElÃ­ptico,20,40,5
28/11/2023,Supino inclinado hack,50,8,ElÃ­ptico,20,40,5
28/11/2023,Supino inclinado hack,50,8,ElÃ­ptico,20,40,5
28/11/2023,Supino inclinado hack,50,7,ElÃ­ptico,20,40,4
28/11/2023,Supino inclinado halter,24,8,ElÃ­ptico,20,18,5
28/11/2023,Supino inclinado halter,24,8,ElÃ­ptico,20,18,4
28/11/2023,Supino inclinado halter,24,7,ElÃ­ptico,20,18,4
28/11/2023,Biceps pulley corda,45,10,ElÃ­ptico,20,36,5
28/11/2023,Biceps pulley corda,45,10,ElÃ­ptico,20,36,5
28/11/2023,Biceps pulley corda,45,10,ElÃ­ptico,20,36,5
28/11/2023,Rosca 45,14,9,ElÃ­ptico,20,10,5
28/11/2023,Rosca 45,14,7,ElÃ­ptico,20,10,5
28/11/2023,Rosca 45,14,6,ElÃ­ptico,20,10,4
28/11/2023,Concentrado,12,8,ElÃ­ptico,20,8,5
28/11/2023,Concentrado,12,7,ElÃ­ptico,20,8,4
28/11/2023,Concentrado,12,7,ElÃ­ptico,20,8,5
29/11/2023,Cadeira Flexora,37,10,,,28,5
29/11/2023,Cadeira Flexora,37,10,,,30,5
29/11/2023,Cadeira Flexora,37,8,,,30,4
